Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Riverside County Sheriff's Department,Riverside,RI031720218,2021-04-20 08:54:00,Homicide Investigation,Homicide, , ,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-01-01 00:00:00,2020-09-30 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to flight from prosecution,No, ,electronic-search-warrant-notifications.csv,2021
Riverside County Sheriff,Riverside,RI0917202016,2021-05-04 15:21:00,Homicide investigation,Homicide, , ,Business,"Google, LLC",Location information,2020-09-06 00:00:00,2020-09-07 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to flight from prosecution,No, ,electronic-search-warrant-notifications.csv,2021
Long Beach Police Department,Los Angeles, ,2021-04-21 15:32:00,Homicide,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-09-01 00:00:00,2020-12-01 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2021
Long Beach Police Department,Los Angeles, ,2021-08-04 10:02:00,A murder that occurred in the City of Long Beach.,Homicide, , ,Business,Google Inc,"Other transactional and account records from a service provider
Location information
",2021-03-16 00:00:00,2021-03-16 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
Orange County Sheriff's Department,Orange,10502,2021-07-29 09:25:00,The victim believed they were purchasing a vehicle from craigslist and wired funds.  The vehicle was never received.,Theft/Fraud, , ,Business,Google & Chase,"Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2021-04-08 00:00:00,2021-04-20 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Los Angeles Police Department,Los Angeles,88435,2021-04-30 16:04:00,Police investigation of ID Theft and Mortgage Fraud related to Grand Theft,Theft/Fraud, ,ID Theft,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01 00:00:00,2020-05-20 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2021
Susanville Police Department,Lassen,21-051,2021-05-13 19:37:00,ICAC referred this case to our jurisdiction  ,Child Exploitation, , ,Business,Google INC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2021-03-13 00:00:00,2021-05-10 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring", ,No, ,electronic-search-warrant-notifications.csv,2021
Long Beach Police Department,Los Angeles,,2021-02-12 18:16:00,Attempt to identify suspects in a murder investigation.,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Location information
",2020-12-11 00:00:00,2020-12-11 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, ,electronic-search-warrant-notifications.csv,2021
Long Beach Police Department,Los Angeles,,2021-02-12 18:11:00,Attempting to provide evidence of motive related to a murder.,Homicide, , ,Business,Facebook and Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-01-01 00:00:00,2020-09-24 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
Long Beach Police Department,Los Angeles,,2021-02-12 18:07:00,Attempt to identify additional suspects in a murder investigation.,Homicide, , ,Business,"Google, Facebook and Oath Holdings (Yahoo)","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-01-01 00:00:00,2020-06-01 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Los Angeles Police Department,Los Angeles,LB21S135,2021-02-01 11:58:00,Google reported account uploaded child pornography to their platform. ,Child Exploitation, , ,Business,Google Inc.,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-10-20 00:00:00,2021-01-11 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, ,electronic-search-warrant-notifications.csv,2021
Los Angeles Police Department,Los Angeles, ,2021-01-12 13:08:00,Uploading of child pornography onto Google platform.,Child Exploitation, , ,Business,Google,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-10-01 00:00:00,2021-01-11 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
Los Angeles Police Dept,Los Angeles, ,2021-07-28 15:26:00,Dropbox reported that one of their users uploaded files of child sexual abuse material to their server.  Dropbox captured the email account turin2004yhoo.com@gmail.com which was used to create the dropbox account and the IP address of 2607:fb90:e77b:6e0:b819:844a:6ca5:d9d7 on 03/21/2021 which was used to upload the files from to the Dropbox server.,Child Exploitation, ,Minors,Business,"Dropbox, Google and TMobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-03-27 00:00:00,2021-07-15 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
